Время;Имя узла;IP адрес;CPU (%);RAM (%);Disk (%)
21:46:31;MacBook-Margo;127.0.0.1;18.6;81.9;64.6
21:46:34;MacBook-Margo;127.0.0.1;19.4;81.7;64.6
21:46:37;MacBook-Margo;127.0.0.1;16.4;81.6;64.6
21:46:40;MacBook-Margo;127.0.0.1;15.3;81.6;64.6
21:46:43;MacBook-Margo;127.0.0.1;19.3;81.8;64.6
21:46:46;MacBook-Margo;127.0.0.1;22.0;81.5;64.6
21:46:49;MacBook-Margo;127.0.0.1;13.7;81.4;64.6
21:46:52;MacBook-Margo;127.0.0.1;20.6;81.9;64.6
21:46:55;MacBook-Margo;127.0.0.1;19.8;81.5;64.6
21:46:58;MacBook-Margo;127.0.0.1;26.6;82.0;64.6
21:47:01;MacBook-Margo;127.0.0.1;21.2;82.1;64.6
21:47:04;MacBook-Margo;127.0.0.1;17.5;81.2;64.6
21:47:07;MacBook-Margo;127.0.0.1;23.2;81.9;64.6
21:47:10;MacBook-Margo;127.0.0.1;21.7;82.0;64.6
21:47:13;MacBook-Margo;127.0.0.1;29.9;82.1;64.6
21:47:16;MacBook-Margo;127.0.0.1;26.7;82.5;64.6
21:47:19;MacBook-Margo;127.0.0.1;23.3;82.5;64.6
21:47:23;MacBook-Margo;127.0.0.1;16.6;82.5;64.6
21:47:26;MacBook-Margo;127.0.0.1;21.7;82.3;64.6
21:47:29;MacBook-Margo;127.0.0.1;7.8;82.0;64.6
21:47:32;MacBook-Margo;127.0.0.1;7.7;82.0;64.6
21:47:35;MacBook-Margo;127.0.0.1;11.1;81.3;64.6
21:47:38;MacBook-Margo;127.0.0.1;10.2;81.5;64.6
21:47:41;MacBook-Margo;127.0.0.1;10.6;80.7;64.6
21:47:44;MacBook-Margo;127.0.0.1;7.5;81.3;64.6
21:47:47;MacBook-Margo;127.0.0.1;9.7;81.0;64.6
21:47:50;MacBook-Margo;127.0.0.1;4.9;81.0;64.6
21:47:53;MacBook-Margo;127.0.0.1;8.0;81.1;64.6
